Couple,File_1,File_2,Kappa
Hao-Axel,Axel/deepseek/sheet_7_annotations_FELTEN.csv,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,0.262
Jinane-Axel,Axel/deepseek/sheet_7_annotations_FELTEN.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.326
Mario-Jinane,Mario/deepseek/sheet_7_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.538
Hao-Jinane,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.531
Mario-Hao,Mario/deepseek/sheet_7_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,0.498
Mario-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,0.225
Hao-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,0.070
Jinane-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.253
Mario-Jinane,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.201
Hao-Jinane,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.219
Mario-Hao,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,0.013
Mario-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,0.271
Hao-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,0.217
Jinane-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.469
Mario-Jinane,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.254
Hao-Jinane,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.154
Mario-Hao,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,0.094
Mario-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,-0.024
Hao-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,0.114
Jinane-Axel,Axel/gemma/sheet_19_annotations_FELTEN.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,-0.024
Mario-Jinane,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,-0.110
Hao-Jinane,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_19_annotations_HARCHAL.csv,0.108
Mario-Hao,Mario/gemma/sheet_19_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_19_annotations_Hao_Gemma.csv,0.010
Mario-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,0.031
Hao-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,0.254
Jinane-Axel,Axel/gemma/sheet_30_annotations_FELTEN.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,0.417
Mario-Jinane,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,-0.007
Hao-Jinane,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_30_annotations_HARCHAL.csv,0.040
Mario-Hao,Mario/gemma/sheet_30_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_30_annotations_Hao_Gemma.csv,0.087
Mario-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,0.231
Hao-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,0.150
Jinane-Axel,Axel/gemma/sheet_38_annotations_FELTEN.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.349
Mario-Jinane,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.085
Hao-Jinane,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_38_annotations_HARCHAL.csv,0.249
Mario-Hao,Mario/gemma/sheet_38_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_38_annotations_Hao_Gemma.csv,-0.065
Mario-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,0.163
Hao-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,0.163
Jinane-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.237
Mario-Jinane,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.169
Hao-Jinane,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.114
Mario-Hao,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,0.353
Mario-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,-0.009
Hao-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,0.239
Jinane-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,-0.033
Mario-Jinane,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,0.224
Hao-Jinane,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,0.235
Mario-Hao,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,0.396
Mario-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,0.281
Hao-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,0.107
Jinane-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.237
Mario-Jinane,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.275
