Couple,File_1,File_2,Kappa
Hao-Axel,Axel/deepseek/sheet_7_annotations_FELTEN.csv,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,0.212
Jinane-Axel,Axel/deepseek/sheet_7_annotations_FELTEN.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.317
Mario-Jinane,Mario/deepseek/sheet_7_annotations_JAKIMOSKI.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.493
Hao-Jinane,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,Jinane/deepseek/sheet_7_annotations_HARCHAL.csv,0.306
Mario-Hao,Mario/deepseek/sheet_7_annotations_JAKIMOSKI.csv,Hao/deepseek/sheet_7_annotations_Hao_Deepseek.csv,0.355
Mario-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,0.066
Hao-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,0.068
Jinane-Axel,Axel/gemma/sheet_10_annotations_FELTEN.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.154
Mario-Jinane,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.201
Hao-Jinane,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_10_annotations_HARCHAL.csv,0.190
Mario-Hao,Mario/gemma/sheet_10_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_10_annotations_Hao_Gemma.csv,0.055
Mario-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,0.067
Hao-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,0.059
Jinane-Axel,Axel/gemma/sheet_13_annotations_FELTEN.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.289
Mario-Jinane,Mario/gemma/sheet_13_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.085
Hao-Jinane,Hao/gemma/sheet_13_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_13_annotations_HARCHAL.csv,0.082
